"tune.args","fold","auc.val","auc.diff","cbi.val","or.mtp","or.10p"
"fc.LQH_rm.1.5",2,0.820899635876128,0.0993983522314557,0.718,0,0
"fc.LQH_rm.1.5",3,0.760011070860514,0.0847338322227439,0.824,0.0465116279069767,0.232558139534884
"fc.LQH_rm.1.5",4,0.846372622155912,0.0406630606020369,0.292,0,0
"fc.LQHP_rm.1.5",1,0.693257752521891,0.176706531398969,0.498,0,0.232558139534884
"fc.LQHP_rm.1.5",2,0.840154524922282,0.0767943417596829,0.911,0,0
"fc.LQHP_rm.1.5",3,0.755178663602327,0.10458550984349,0.672,0.116279069767442,0.162790697674419
"fc.LQHP_rm.1.5",4,0.875442333993248,0.0641932272799356,0.623,0,0
"fc.L_rm.2.5",1,0.425081338126035,0.336410263259925,-0.611,0,0.697674418604651
"fc.L_rm.2.5",2,0.748642418212266,0.117150832518784,0.649,0,0
"fc.L_rm.2.5",3,0.693263591583343,0.0478696476243194,0.531,0,0.0232558139534884
"fc.L_rm.2.5",4,0.729670568769786,0.0740479615714906,0.031,0,0
"fc.LQ_rm.2.5",1,0.560444796345215,0.241580474820799,0.052,0.0697674418604651,0.27906976744186
"fc.LQ_rm.2.5",2,0.769329045126602,0.102752217894505,0.668,0,0
"fc.LQ_rm.2.5",3,0.723731814243106,0.0120465676828969,0.704,0,0.0697674418604651
"fc.LQ_rm.2.5",4,0.854774577033063,0.116226162062278,0.346,0,0
"fc.H_rm.2.5",1,0.651438394398238,0.199756117000778,0.596,0,0.27906976744186
"fc.H_rm.2.5",2,0.821712433230332,0.0788513336270381,0.86,0,0
"fc.H_rm.2.5",3,0.769376925430514,0.0624750380122902,0.728,0,0.13953488372093
"fc.H_rm.2.5",4,0.875997044730726,0.0835680678339613,0.671,0,0
"fc.LQH_rm.2.5",1,0.638361232368954,0.214999625570184,0.527,0,0.27906976744186
"fc.LQH_rm.2.5",2,0.818837279371063,0.0860044576125012,0.88,0,0
