"fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef","delta.AICc_40","w.AIC_40"
"H",4,"fc.H_rm.4",0.812719590643275,0.976,0.0936867382608906,0.0707077287222114,0.787067705449323,0.0942311187970643,0.84075,0.153041116479635,0.0930232558139535,0.12737733895469,0.00581395348837209,0.0116279069767442,3836.31640705763,67.6990839675336,1.99218273392746e-15,12,67.69908396753,1.97916595990952e-15
"LQH",3.5,"fc.LQH_rm.3.5",0.811297368421053,0.988,0.0856669212326381,0.0815838573358231,0.771430533594385,0.0849168409527637,0.699,0.0900999445060873,0.0813953488372093,0.133594480152047,0,0,3839.78828944354,60.7574299638986,5.33824298820983e-14,16,71.1709663534402,3.48796832068532e-16
"LQ",0.5,"fc.LQ_rm.0.5",0.80635701754386,0.94,0.0985757216629636,0.0946379103846264,0.766093629407907,0.104384188807202,0.668,0.255084299791265,0.104651162790698,0.137583250769758,0.0290697674418605,0.0581395348837209,3842.36022192193,63.3293624422854,1.47540175829985e-14,12,73.7428988318302,9.64016550874703e-17
"LQH",4,"fc.LQH_rm.4",0.809387426900585,0.987,0.0875498966084972,0.0790445013844927,0.769143788146401,0.0855890851367732,0.68675,0.141186342587849,0.0872093023255814,0.132067635948844,0,0,3842.89408362892,74.2767605388167,7.43027439846878e-17,14,74.2767605388199,7.38172553739336e-17
"LQ",1,"fc.LQ_rm.1",0.787625438596491,0.944,0.106439592701792,0.0892343226155957,0.753960624428684,0.111326923922036,0.64275,0.236892908294022,0.0930232558139535,0.115501274618227,0.0290697674418605,0.0581395348837209,3866.61293238462,97.9956092945167,5.25438978275184e-22,11,97.9956092945199,5.22005799015324e-22
"LQ",1.5,"fc.LQ_rm.1.5",0.772222514619883,0.947,0.114060890798563,0.0877249115695518,0.74221955756179,0.116646444207259,0.55675,0.186526807724788,0.0988372093023256,0.12648968117892,0.0290697674418605,0.0581395348837209,3883.59677986497,104.565920385327,1.63872286341278e-23,9,114.97945677487,1.07072934794939e-25
"LQ",2,"fc.LQ_rm.2",0.765080409356725,0.94,0.115259722362632,0.0964401180087017,0.732399839034303,0.122042811086929,0.48975,0.239010983011242,0.0930232558139535,0.131554749988195,0.0290697674418605,0.0581395348837209,3892.55848852353,123.941165433432,1.22043978321537e-27,9,123.94116543343,1.21246552031655e-27
"LQ",2.5,"fc.LQ_rm.2.5",0.756824269005848,0.927,0.11815135561512,0.0943995291351007,0.727070058186996,0.123651914484894,0.4425,0.306069164296787,0.0872093023255814,0.132067635948844,0.0174418604651163,0.0348837209302326,3901.85894493724,122.828085457599,1.77389027899222e-27,9,133.24162184714,1.15904673338488e-29
"LQ",3,"fc.LQ_rm.3",0.750728947368421,0.914,0.120915179301649,0.0893910056684556,0.7238109910046,0.123114325178077,0.47475,0.311836896469933,0.0872093023255814,0.132067635948844,0.00581395348837209,0.0116279069767442,3907.15300148145,138.535678391346,8.26719409972065e-31,8,138.53567839135,8.21317686747128e-31
"LQ",3.5,"fc.LQ_rm.3.5",0.746459356725146,0.915,0.125374883858688,0.0846093554684906,0.722744332902149,0.122201281443836,0.5275,0.32805131712381,0.0813953488372093,0.120840754016433,0.00581395348837209,0.0116279069767442,3912.12421509877,133.093355619123,1.04677094754748e-29,8,143.50689200867,6.83952362624273e-32
"LQ",4,"fc.LQ_rm.4",0.74232134502924,0.914,0.127462053205263,0.0818785454265309,0.720164761470914,0.12115571863957,0.53175,0.321630611105349,0.0813953488372093,0.120840754016433,0.00581395348837209,0.0116279069767442,3914.69973930331,146.082416213212,1.89934928686274e-32,7,146.08241621321,1.88693907969161e-32
"L",1.5,"fc.L_rm.1.5",0.678326608187135,0.875,0.146938952304369,0.134520317997387,0.648853824538657,0.155362097936189,0.175,0.586724807725053,0.180232558139535,0.345135397201298,0,0,3961.81348559471,182.782626115069,1.69810158550847e-40,5,193.19616250461,1.1095269639546e-42
"L",2,"fc.L_rm.2",0.67849269005848,0.876,0.14545327530395,0.132975665569383,0.649046582879585,0.153211928178381,0.1775,0.571240463085964,0.180232558139535,0.345135397201298,0,0,3962.01957122653,193.402248136433,1.00747410799117e-42,5,193.40224813643,1.00089134699731e-42
"L",2.5,"fc.L_rm.2.5",0.678685087719298,0.875,0.14386967624363,0.131500128761962,0.649164479172857,0.151145709647479,0.15,0.573714214570286,0.180232558139535,0.345135397201298,0,0,3962.20862873803,183.177769258381,1.39366830743519e-40,5,193.59130564793,9.10612521122917e-43
"L",3,"fc.L_rm.3",0.678920175438597,0.883,0.142252918984461,0.129955044912561,0.649301865848832,0.149032483810046,0.15125,0.561932602720291,0.180232558139535,0.345135397201298,0,0,3962.45871937793,193.841396287828,8.08861350471818e-43,5,193.84139628783,8.03576310482264e-43
"L",3.5,"fc.L_rm.3.5",0.679162280701754,0.887,0.140563438605427,0.128372715258214,0.649444228308842,0.146934479914851,0.142,0.549811482843589,0.162790697674419,0.310271257305264,0,0,3962.73946891816,183.708609438519,1.06878153892642e-40,5,194.12214582806,6.98333919558144e-43
"L",4,"fc.L_rm.4",0.679352923976608,0.881,0.138991279013124,0.126492539131497,0.649782242090561,0.144859488972671,0.15225,0.523802364128558,0.162790697674419,0.310271257305264,0,0,3963.05619881574,194.438875725635,5.9997488717103e-43,5,194.43887572564,5.96054695817525e-43
"L",0.5,"fc.L_rm.0.5",0.677611403508772,0.87,0.145759425886712,0.140594287673088,0.645315712168699,0.157507270685253,0.17225,0.566925847590906,0.186046511627907,0.356757627876088,0,0,3963.61276818161,184.581908701964,6.9064427802568e-41,6,194.99544509151,4.51261841757885e-43
"L",1,"fc.L_rm.1",0.678100292397661,0.869,0.146561121959982,0.137235908092067,0.647273726804281,0.156403579863276,0.14925,0.558993962400311,0.180232558139535,0.345135397201298,0,0,3963.82636439726,195.209041307157,4.08219495480511e-43,6,195.20904130716,4.05552219615376e-43
